Kultur;Stadium;id_element;Variable;y_max;x_max;a_l;a_r
Silomais;Blüte;p_zn;Zn (ppm);0,27433151;42,30003563;-0,00038767;-0,00038767
Silomais;Blüte;p_fe;Fe (ppm);0,25039486;105,3496073;-9,62e-06;-9,62e-06
Silomais;Blüte;p_mo;Mo (ppm);0,30600078;0,6482933;-0,23122554;-0,15443319
Silomais;Blüte;p_c_n;C/N-Verhältnis;0,27753748;16,98845755;-0,00306392;-0,00340148
Silomais;Blüte;b_p;P (mg/100 g);0,2763743;8,30340901;-0,00101984;-0,00093699
Silomais;Blüte;b_k;K (mg/100 g);0,28142443;10,54766497;-0,00425139;-0,00529665
Silomais;Blüte;b_mg;Mg (mg/100 g);0,27619522;9,59332809;-9,404e-05;-0,00190484
Silomais;Blüte;b_ca;Ca (mg/100 g);0,27823089;106,55889585;-8,1e-07;-1,66e-06
Silomais;Blüte;b_b;B (mg/kg);0,29750579;0,49157277;-0,29273735;-0,29579019
Silomais;Blüte;b_mn;Mn (mg/kg);0,27592449;35,46966311;-3,72e-06;-1,071e-05
Silomais;Blüte;b_cu;Cu (mg/kg);0,27927;2,36340675;-0,00355127;-0,00436188
Silomais;Blüte;b_zn;Zn (mg/kg);0,28689638;4,59889975;-0,00303089;-0,00263585
Silomais;Blüte;b_fe;Fe (mg/kg);0,27579973;84,63347192;-1,496e-05;-1,633e-05
Silomais;Blüte;b_c_n;C/N;0,28233783;8,48393863;-0,00847732;-0,04057642
Silomais;Blüte;b_c;C (% TS)2;0,27429663;0,95906842;-0,10480557;-0,11417133
Silomais;Blüte;b_n;N(% TS);0,2757053;0,11295212;-13,98889203;-13,99071182
Silomais;Blüte;b_humus;Humus (%TS);0,27429667;1,64459154;-0,02322645;-0,03876644
