lab name;lab_nr;probenahme;versuchsfläche;gps_lat;gps_lon;bodenklimaraum;bodengruppe;kultur;sorte;öko/konv;ertrag (dt/ha);rohprotein (% TS);stärke (%);zucker (% TS);öl (%);bewässerung;besonderheiten;dat_saat;dat_ernte;entwicklungsstadium;d_org;d_n;d_p2o5;d_k2o;d_mgo;d_cao;d_s;d_b;d_mn;d_cu;d_zn;d_fe;dat_düng;anm_dgg;p_n;p_ca;p_p;p_k;p_mg;p_na;p_s;p_b;p_mn;p_cu;p_zn;p_fe;p_mo;p_al;p_co;p_se;p_si;p_c;p_c_n;p_n_s;p_ts;ph_wert;b_n;b_p;b_k;b_mg;b_ca;b_b;b_mn;b_cu;b_zn;b_fe;b_c_n;b_c;b_humus;station_id;station_name;station_lat;station_lon
IAU;1_885;20.06.2022;0;52,069558;11,495749;107;4;Kartoffel;Lea;1;375;;;;;0;"VF WW DÜ: 2,5 t PPL; Zwischenfrucht TL Solanum TR Öko gesät Anfang Sept. 2021";04.05.2022;31.08.2022;Knospenstadium;;65;34;200;14;;19;1;0;0;1;0;17.03.2022;2,5 t PPL/ha;5,22;2,07;0,28;8,53;0,28;0,01;0,33;35;66,5;8,77;31,8;244,1;0,42;414,7;0,14;0,06;;40,46;7,75;;;7,1;0,18;9,7;41,17;11,2;285;1,19;121,8;2,35;4,96;44,34;10,86;1,96;3,36;3126;Magdeburg;52,10290146;11,58269978
IAU;1_886;20.06.2022;0;52,069558;11,495749;107;4;Kartoffel;Mariola;1;227,5;;;;;0;"VF WW DÜ: 2,5 t PPL; Zwischenfrucht TL Solanum TR Öko gesät Anfang Sept. 2021";04.05.2022;19.09.2022;Knospenstadium;;65;34;200;14;;19;1;0;0;1;0;17.03.2022;2,5 t PPL/ha;5,32;1,54;0,3;7;0,36;0,01;0,37;27,2;54,9;10,07;24,2;234,6;0,52;393;0,12;0,05;;42,5;7,99;;;6,7;0,17;5;17,81;11,7;327;0,55;74,73;1,92;3,5;40,65;11,27;1,91;3,28;3126;Magdeburg;52,10290146;11,58269978
IAU;1_887;20.06.2022;0;52,069558;11,495749;107;4;Kartoffel;Princess;1;214,9;;;;;0;"VF WW DÜ: 2,5 t PPL; Zwischenfrucht TL Solanum TR Öko gesät Anfang Sept. 2021";04.05.2022;31.08.2022;Knospenstadium;;65;34;200;14;;19;1;0;0;1;0;17.03.2022;2,5 t PPL/ha;5,3;2;0,26;6,93;0,34;0,01;0,35;27;65,5;8,95;24,6;244,5;0,38;486,9;0,15;0,08;;41,94;7,91;;;7;0,17;6;28,27;11,9;286;1,05;137,5;2,31;4,03;40,99;11,56;1,97;3,38;3126;Magdeburg;52,10290146;11,58269978
IAU;1_888;20.06.2022;0;52,069558;11,495749;107;4;Kartoffel;Santera;1;244,3;;;;;0;"VF WW DÜ: 2,5 t PPL; Zwischenfrucht TL Solanum TR Öko gesät Anfang Sept. 2021";04.05.2022;23.09.2022;Knospenstadium;;65;34;200;14;;19;1;0;0;1;0;17.03.2022;2,5 t PPL/ha;5,22;2,19;0,26;6,79;0,34;0,01;0,33;20,1;65,5;8,84;24,6;169,8;0,33;339,5;0,12;0,05;;41,55;7,96;;;7,5;0,22;12,8;25,05;8,9;406;1,36;59,69;1,8;3,56;21,2;11,17;2,46;4,23;3126;Magdeburg;52,10290146;11,58269978
IAU;1_889;20.06.2022;0;52,07277;11,481855;107;4;Kartoffel;Glorietta;1;181,7;;;;;0;VF: Erbse DÜ: 2 t PPL;24.04.2022;12.08.2022;Blühbeginn;;52;89;164;52;1.189;24;1;0;0;1;0;17.03.2022;2 t PPL/ha;4,56;2,47;0,23;5,28;0,57;0,01;0,31;30,1;71,2;6,95;25,4;186,7;0,47;372;0,12;;;45,55;9,99;;;6,4;0,2;5,3;16,14;14,5;242;1,46;214,5;2,6;6,45;81,11;11,73;2,32;3,99;3126;Magdeburg;52,10290146;11,58269978
IAU;1_890;20.06.2022;0;52,07277;11,481855;107;4;Kartoffel;Ballerina;1;251,7;;;;;0;VF: Erbse DÜ: 2 t PPL;24.04.2022;05.09.2022;Knospenstadium;;52;89;164;52;1.189;24;1;0;0;1;0;17.03.2022;2 t PPL/ha;4,87;2,83;0,23;6,71;0,5;0,01;0,32;27,2;88,6;7,97;22,5;182,8;0,78;319,9;0,11;0,04;;41,66;8,55;;;6,5;0,19;4,7;20,04;14,7;237;1,34;167,7;2,32;5,8;79,66;11,82;2,28;3,93;3126;Magdeburg;52,10290146;11,58269978
IAU;1_891;20.06.2022;0;52,07277;11,481855;107;4;Kartoffel;Mary Ann;1;284,6;;;;;0;VF: Erbse DÜ: 2 t PPL;24.04.2022;30.09.2022;Knospenstadium;;52;89;164;52;1.189;24;1;0;0;1;0;17.03.2022;2 t PPL/ha;4,58;2,28;0,27;5,91;0,35;0,01;0,33;23;71,5;7,86;24,5;201,3;0,7;366,1;0,12;0,02;;42,78;9,34;;;6,3;0,19;4,7;19,76;14,6;233;1,42;169,1;2,34;6,17;87,56;12,21;2,3;3,95;3126;Magdeburg;52,10290146;11,58269978
IAU;1_892;20.06.2022;0;52,07277;11,481855;107;4;Kartoffel;Lea;1;309,9;;;;;0;VF: Erbse DÜ: 2 t PPL;24.04.2022;06.09.2022;Knospenstadium;;52;89;164;52;1.189;24;1;0;0;1;0;17.03.2022;2 t PPL/ha;5,41;2,15;0,3;7,94;0,36;0,01;0,33;31,5;68;7,4;27,4;249;0,72;485;0,15;0,04;;40,53;7,49;;;7;0,21;9,7;51,54;14,8;252;1,98;202,2;2,57;6,84;68,21;12,05;2,48;4,27;3126;Magdeburg;52,10290146;11,58269978
IAU;1_898;20.06.2022;0;51,139931;11,961967;107;4;Kartoffel;Anuschka;0;210,4;;;;;0;"VF: Mais; Dü HTK";14.04.2022;19.09.2022;Knospenstadium;;62;51;66;15;36;1;1;0;0;0;0;28.04.2022;und 25.02.2022 3 t/ha HTK und 125 kg/ha Physaktiv plus 1;5,37;2,15;0,4;5,44;0,46;0,01;0,37;28,9;53,7;11,11;37,8;209,6;0,84;382,9;0,17;0,06;;42,08;7,84;;;6,2;0,17;8,9;25,31;16,7;192;0,92;170,3;4,5;7,32;133,3;11,79;2,04;3,51;3821;Osterfeld;51,08720016;11,92930031
IAU;1_899;20.06.2022;0;51,139931;11,961967;107;4;Kartoffel;Anuschka;0;210,4;;;;;0;"VF: Mais; Dü HTK";14.04.2022;19.09.2022;Blühbeginn;;62;51;66;15;36;1;1;0;0;0;0;28.04.2022;und 25.02.2022 3 t/ha HTK und 125 kg/ha Physaktiv plus 1;4,49;2,22;0,29;4,88;0,56;0,01;0,33;24;56,8;10,48;26,7;205,5;0,35;401,8;0,14;0,07;;42,22;9,41;;;6;0,17;6,7;19,37;19,1;177;0,59;141,1;3,88;5,97;123,9;10,39;1,77;3,04;3821;Osterfeld;51,08720016;11,92930031
IAU;1_900;20.06.2022;0;51,06878;11,95;107;4;Kartoffel;Belana;0;287,1;;;;;0;VF: Durum;20.04.2022;06.10.2022;Knospenstadium;;;;;;;;0;0;0;0;0;;keine Düngung;4,07;1,72;0,25;5,13;0,25;0,01;0,26;25;65,2;7,77;19,8;238,5;0,36;483;0,18;;;42,01;10,32;;;5,8;0,18;7,4;31,58;14,3;157;0,57;166,1;3,66;4,65;152,5;11,15;1,95;3,36;3821;Osterfeld;51,08720016;11,92930031
IAU;1_901;20.06.2022;0;51,06878;11,80232;107;4;Kartoffel;Gala;0;295,1;;;;;0;VF: Durum;20.04.2022;05.10.2022;Blühbeginn;;;;;;;;0;0;0;0;0;;keine Düngung;4,88;1,84;0,25;5,67;0,34;0,01;0,31;24,9;79;9,73;23,4;251,6;0,12;519;0,17;0,1;;42,88;8,8;;;5,5;0,17;4,7;25,82;13,5;153;0,57;147,3;3,49;3,42;142;10,76;1,8;3,09;7420;Naumburg/Saale-Kreipitzsch;51,10440063;11,71119976
IAU;1_1087;24.06.2022;0;51,2658055;11,7722677;107;4;Kartoffel;Corinna;0;233,6;;;;;0;;19.04.2022;28.09.2022;Knospenstadium;;42;105;157;;399;;1;0;0;1;0;08.07.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;4,2;2,43;0,19;4,67;0,37;0,01;0,3;39,1;100,6;16,11;26,2;108,2;0,51;121,3;0,1;0,12;;42,16;10,05;;;6,3;0,14;3,5;13,37;13,8;216;1,29;257,3;2,99;4,57;70,63;11,7;1,65;2,84;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;1_1088;24.06.2022;0;51,2658055;11,7722677;107;4;Kartoffel;Ballerina;0;272,7;;;;;0;;19.04.2022;18.08.2022;Knospenstadium;;42;105;157;;399;;1;0;0;1;0;08.07.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;4,37;3,54;0,16;5,02;0,56;0,01;0,31;33,7;161,9;11,66;26,7;184,3;1,06;228,5;0,15;0,08;;41,14;9,42;;;6,3;0,15;2,5;12,02;13,3;206;1,38;263,9;3,08;4,75;68,62;11,6;1,72;2,95;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;1_1089;24.06.2022;0;51,2658055;11,7722677;107;4;Kartoffel;Sunshine;0;195,2;;;;;0;;19.04.2022;01.10.2022;Knospenstadium;;42;105;157;;399;;1;0;0;1;0;08.07.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;4,71;2,47;0,23;4,23;0,44;0,01;0,35;31,3;95,8;13,25;26,4;187,6;0,88;241,2;0,13;0,14;;43,08;9,15;;;7;0,15;5,1;13,94;13,8;269;1,32;177,6;3,12;8,06;35,93;11,61;1,7;2,92;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;1_1090;24.06.2022;0;51,2658055;11,7722677;107;4;Kartoffel;Wendy;0;240,9;;;;;0;;19.04.2022;19.09.2022;Blühbeginn;;42;105;157;;399;;1;0;0;1;0;08.07.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;4,56;1,92;0,25;4,7;0,32;0,01;0,38;29,4;74,9;12,94;26,2;131;0,9;145,6;0,09;0,11;;42,84;9,39;;;6,9;0,14;5,8;14,72;12;273;1,35;163,1;2,99;6,21;40,06;11,32;1,62;2,78;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;1_1091;24.06.2022;0;51,2658055;11,7722677;107;4;Kartoffel;Queen Anne;0;303;;;;;0;;19.04.2022;26.09.2022;Blühbeginn;;42;105;157;;399;;1;0;0;1;0;08.07.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;4,26;1,96;0,21;4,07;0,39;0,01;0,34;37,8;78,5;11,73;21,6;149,8;1,06;171,1;0,09;0,24;;42,67;10,03;;;6,8;0,14;3;10,96;13,8;220;1,51;255,3;3,04;5,5;58,14;10,77;1,55;2,67;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;1_1092;24.06.2022;0;51,2658055;11,7722677;107;4;Kartoffel;Talent;0;188;;;;;0;;19.04.2022;07.10.2022;Blühbeginn;;42;105;157;;399;;1;0;0;1;0;08.07.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;4,91;1,82;0,23;4,17;0,4;0,01;0,37;31,4;98,7;15,07;26,4;144,7;0,8;164,6;0,09;0,13;;43,41;8,83;;;6;0,14;2;11,24;13,5;184;1,14;265;3,1;4,92;76,41;11,13;1,53;2,62;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;1_1093;24.06.2022;0;51,2658055;11,7722677;107;4;Kartoffel;Antonia;0;296,2;;;;;0;;19.04.2022;23.09.2022;Blühbeginn;;42;105;157;;399;;1;0;0;1;0;08.07.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;5,12;1,73;0,26;4,42;0,38;0,01;0,41;33,3;100,3;17,91;30,8;253,3;1,07;385,3;0,16;0,17;;43,44;8,48;;;6,8;0,15;4,5;27,74;12,1;201;1,56;245,9;3,24;5,93;54,22;10,63;1,63;2,8;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;1_1094;24.06.2022;0;51,2653104;11,7593743;107;4;Kartoffel;Regina;0;247,2;;;;;0;;19.04.2022;23.09.2022;Blühbeginn;;42;105;157;;399;;1;0;0;1;0;08.07.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;4,92;1,91;0,25;4,44;0,36;0,01;0,35;35,5;85,6;15,7;29,2;176,4;0,7;240;0,12;0,19;;43,42;8,83;;;6,6;0,15;4,9;12,18;12,6;213;1,39;255,6;4,17;6,52;61,22;11,44;1,74;2,99;7420;Naumburg/Saale-Kreipitzsch;51,10440063;11,71119976
IAU;1_1095;24.06.2022;0;51,2653104;11,7593743;107;4;Kartoffel;Sevim;0;243,8;;;;;0;;19.04.2022;24.09.2022;Blühbeginn;;42;105;157;;399;;1;0;0;1;0;08.07.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;4,87;1,9;0,23;4,17;0,39;0,01;0,33;35,9;75,3;11,52;23,9;158,9;0,52;220,5;0,12;0,08;;43,06;8,85;;;6,7;0,15;3,6;11,1;11,9;202;1,49;252,9;4,22;6,36;62,03;10,57;1,62;2,78;7420;Naumburg/Saale-Kreipitzsch;51,10440063;11,71119976
IAU;1_1096;24.06.2022;0;51,2653104;11,7593743;107;4;Kartoffel;Lisana;0;225;;;;;0;;19.04.2022;24.09.2022;Knospenstadium;;42;105;157;;399;;1;0;0;1;0;08.07.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;4,88;2,43;0,24;4,17;0,44;0,01;0,38;36,2;105,7;14,23;25,1;127,7;1,02;131,2;0,1;0,23;;42,59;8,73;;;6,4;0,16;3,9;11,4;11,8;184;1,5;264,4;4,29;6,47;68,13;10,58;1,64;2,82;7420;Naumburg/Saale-Kreipitzsch;51,10440063;11,71119976
IAU;1_1262;08.07.2022;0;52,75768;12,164;104;3;Kartoffel;Birgit;0;280;;17,5;;;1;;05.04.2022;01.08.2022;Blühbeginn;;129;18;134;71;;171;1;1;0;1;0;29.07.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;5,04;0,93;0,34;2,83;0,53;0,01;0,43;52,9;40,3;21,04;22,8;178,6;3,98;212;0,05;0,04;;46,4;9,21;;;5,6;0,14;7,6;13,54;10,2;100;0,36;33,42;2,53;3,48;229,4;10,91;1,57;2,7;2794;Kyritz;52,93619919;12,40929985
IAU;1_1267;08.07.2022;0;52,77991;12,18408;104;3;Kartoffel;Albatros;0;384;;20,1;;;1;;27.04.2022;30.08.2022;Blühbeginn;;103;13;91;43;;122;1;1;0;1;0;20.08.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;5,26;0,49;0,41;3,34;0,35;0,01;0,5;24,1;51,7;11,59;32,7;121,3;0,66;108,1;0,06;0,06;;47,05;8,94;;;5,1;0,11;4,4;12,78;5,3;71;0,19;74,34;2,29;3,52;264,5;9,03;0,99;1,71;2794;Kyritz;52,93619919;12,40929985
IAU;1_1265;08.07.2022;0;52,76644;12,18315;104;4;Kartoffel;Albatros;0;384;;20;;;1;;21.04.2022;30.08.2022;Blühbeginn;;109;14;98;69;;159;1;1;0;1;0;22.08.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;5,4;0,72;0,4;3,81;0,47;0,05;0,49;34,5;50,5;14,26;24,6;178,8;9,41;248,5;0,04;0,06;;47,28;8,75;;;5,9;0,16;5,2;15,64;12,2;139;0,66;87,24;1,92;4,7;209,9;9,8;1,58;2,71;2794;Kyritz;52,93619919;12,40929985
IAU;1_1268;08.07.2022;0;52,75412;12,19141;104;2;Kartoffel;Q 56;0;330;;16,5;;;1;;24.04.2022;04.10.2022;Blühbeginn;;99;11;76;63;;193;1;1;0;1;0;22.08.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;4;0,65;0,35;3,43;0,35;0,01;0,44;31;31,6;13,77;22,5;140,8;8;57,2;;0,04;;47,22;11,81;;;6;0,12;10,4;9,58;6,2;71;0,38;27,95;1,42;4,8;169,4;8,13;0,99;1,71;2794;Kyritz;52,93619919;12,40929985
IAU;1_1263;08.07.2022;0;52,76702;12,18679;104;3;Kartoffel;Euroflora;0;497;;18,6;;;1;;30.04.2022;12.10.2022;Blühbeginn;;129;78;237;62;60;124;1;1;0;1;0;02.09.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;5,77;0,93;0,47;3,78;0,46;0,11;0,58;26,5;62,6;12,6;28,1;159,2;7,49;69,1;0,03;0,11;;46,15;8;;;5,9;0,18;5,5;18,29;13,3;130;0,65;58,4;1,69;6;167,2;11,99;2,17;3,73;2794;Kyritz;52,93619919;12,40929985
IAU;1_1266;08.07.2022;0;52,76728;12,17582;104;4;Kartoffel;Jubilat;0;285;;20;;;1;;22.04.2022;21.10.2022;Blühbeginn;;103;13;91;68;;154;1;1;0;1;0;02.09.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;5,33;1,24;0,35;3,7;0,47;0,01;0,47;42,2;36,6;13,77;23,3;144,1;6,41;120;0,03;0,05;;46,66;8,75;;;6,3;0,23;5,8;22,56;14,6;198;0,74;45,99;2,45;4,01;221,4;10,86;2,51;4,31;2794;Kyritz;52,93619919;12,40929985
IAU;1_1264;08.07.2022;0;52,76552;12,19364;104;4;Kartoffel;Eurogrande;0;514;;17,5;;;1;;26.04.2022;07.11.2022;Blühbeginn;;130;71;185;81;60;147;1;1;0;1;0;07.11.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;5,59;0,55;0,45;3,36;0,38;0,01;0,46;25,9;54,5;12,01;36,5;127,8;5,05;98;0,06;0,08;;47,2;8,44;;;5,8;0,13;5,5;14,58;11,7;114;0,59;183,9;2,02;5,19;188,6;8,29;1,09;1,87;2794;Kyritz;52,93619919;12,40929985
IAU;1_1326;15.07.2022;0;51,288134;11,713196;107;4;Kartoffel;Milva;0;377;;;;;0;;03.05.2022;04.11.2022;Blühbeginn;;41;106;228;25;;66;0;0;1;1;0;11.07.2022;;4,37;2,34;0,26;2,06;0,55;0,02;0,41;68,9;56,9;124,1;23,8;101,7;0,75;225,7;0,07;0,16;;44,79;10,25;;;7,5;0,16;11,2;13,3;8,7;325;0,97;48,01;3,1;4,08;21,35;9,67;1,54;2,65;7420;Naumburg/Saale-Kreipitzsch;51,10440063;11,71119976
IAU;1_1327;15.07.2022;0;51,282899;11,702143;107;4;Kartoffel;Queen Anne;0;309;;;;;0;abgeblüht;11.04.2022;04.10.2022;Blühbeginn;;41;46;60;25;;66;0;0;1;1;0;11.07.2022;4,1 t Carbokalk/ha;3,79;2,84;0,19;2,77;0,4;0,01;0,37;46,2;41,9;126,5;157;114,4;0,19;226,8;0,07;0,09;;43,8;11,56;;;7,6;0,14;8,8;20,65;6,2;328;0,82;35,84;2,62;3,53;13,49;8,52;1,22;2,1;7420;Naumburg/Saale-Kreipitzsch;51,10440063;11,71119976
IAU;1_1328;15.07.2022;0;51,290704;11,692441;107;4;Kartoffel;Bellinda;0;377;;;;;0;;28.04.2022;17.10.2022;Blühbeginn;;41;46;60;25;;66;0;0;1;1;0;11.07.2022;4,1 t Carbokalk/ha;4,08;1,72;0,26;3;0,42;0,01;0,5;33,8;37,6;201,4;22,7;100;1,18;209,6;0,06;0,06;;43,86;10,75;;;7,6;0,15;11,8;25,45;7,2;319;0,91;33,08;2,39;4,67;12,82;8,99;1,31;2,26;4036;Querfurt-Mühle Lodersleben;51,38949966;11,54119968
IAU;2_1355;04.04.2023;0;51,123538;11,94024;107;3;Kartoffel;Sorte unbekannt;1;330;;;;;0;;;;Blühbeginn;;;;;;;;0;0;0;0;0;;keine Düngung;6,08;1,94;0,39;5,48;0,51;0,01;0,41;31,7;57,8;18,15;28,7;399,1;0,62;671,6;0,2;0,1;;42,8;7,03;14,78;;5,7;0,16;4;11,8;15,2;162;0,72;150,1;3,45;3,67;129,1;10,42;1,7;2,92;3821;Osterfeld;51,08720016;11,92930031
IAU;2_1960;05.04.2023;0;51,2667166;11,7396188;107;4;Kartoffel;Bernina;0;474,5;;;;;0;unten;21.04.2023;13.10.2023;Blühende;;63;43;46;1;381;;0;0;0;0;0;21.07.2023;;3,51;2,74;0,2;2,31;0,44;0,01;0,33;34,2;55,8;7,84;21,4;195,6;0,13;287,1;0,12;0,14;;45,47;12,95;10,5;;7,1;0,16;4,6;19,9;8,8;229;1,17;184,4;3,4;4,28;38,63;9,98;1,6;2,75;7420;Naumburg/Saale-Kreipitzsch;51,10440063;11,71119976
IAU;2_904;08.06.2023;1;51,49645;11,99274;107;3;Kartoffel;Agria;0;399;;;;;0;Kalkdüngungsversuch;25.04.2023;18.10.2023;Knospenstadium;;120;40;250;;;137;0;0;0;0;0;24.04.2023;;6,18;0,66;0,54;4,9;0,33;0,01;0,58;22,3;92,6;17,7;42,9;300,7;0,47;335,3;0,13;0,09;;44,05;7,13;10,64;;5,3;0,11;6,8;17,4;11,2;112;0,74;136;8,05;8,56;164,5;12,59;1,36;2,34;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;2_905;08.06.2023;1;51,49645;11,99274;107;3;Kartoffel;Agria;0;363;;;;;0;Kalkdüngungsversuch;25.04.2023;18.10.2023;Knospenstadium;;120;40;250;;500;137;0;0;0;0;0;24.04.2023;;6,02;0,8;0,54;4,96;0,35;0,01;0,52;23,2;76,9;18,53;40,8;284,8;0,49;321;0,1;0,16;;44,03;7,32;11,51;;5,7;0,11;7,6;19,2;11,7;126;0,83;147,3;7,43;9,13;136,2;10,6;1,11;1,92;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;2_906;08.06.2023;1;51,49645;11,99274;107;3;Kartoffel;Agria;0;323;;;;;0;Kalkdüngungsversuch;25.04.2023;18.10.2023;Knospenstadium;;120;40;250;;1.000;137;0;0;0;0;0;24.04.2023;;6,03;0,83;0,56;4,63;0,36;0,01;0,52;22,6;52;14,46;37,9;253;1,03;259,6;0,08;0,2;;44,2;7,34;11,69;;6,3;0,11;9;19,9;12,7;139;1,03;153,6;6,71;9,25;112,7;10,22;1,13;1,95;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;2_907;08.06.2023;1;51,49645;11,99274;107;3;Kartoffel;Agria;0;401;;;;;0;Kalkdüngungsversuch;25.04.2023;18.10.2023;Knospenstadium;;120;40;250;;2.000;137;0;0;0;0;0;24.04.2023;;6,12;0,81;0,59;4,62;0,36;0,01;0,51;21,5;47,2;12,65;40,3;254,8;1,66;291,5;0,09;0,17;;44,41;7,26;11,89;;6,1;0,1;8,1;19,3;11,7;132;0,86;137,4;6,48;8,33;119,9;10,61;1,09;1,88;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;2_908;08.06.2023;1;51,49645;11,99274;107;3;Kartoffel;Agria;0;314;;;;;0;Kalkdüngungsversuch;25.04.2023;18.10.2023;Knospenstadium;;120;;250;;;137;0;0;0;0;0;24.04.2023;;6,35;0,68;0,48;4,82;0,34;0,01;0,5;21,2;91,4;15,84;42,1;205,1;0,33;222,2;0,11;0,26;;44,47;7,01;12,74;;5,5;0,11;3;20,2;11,4;116;0,91;142,5;7,82;7,95;120,8;10,26;1,15;1,98;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;2_909;08.06.2023;1;51,49645;11,99274;107;3;Kartoffel;Agria;0;304;;;;;0;Kalkdüngungsversuch;25.04.2023;18.10.2023;Knospenstadium;;120;;250;;500;137;0;0;0;0;0;24.04.2023;;6,16;0,75;0,45;4,92;0,34;0,01;0,48;21,4;75,9;14,8;38,6;203,2;0,47;232;0,1;0,15;;43,99;7,14;12,85;;5,6;0,11;3,5;16,8;11,2;123;0,85;138,1;7,43;7,97;120,7;10,58;1,14;1,97;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;2_910;08.06.2023;1;51,49645;11,99274;107;3;Kartoffel;Agria;0;307;;;;;0;Kalkdüngungsversuch;25.04.2023;18.10.2023;Knospenstadium;;120;;250;;1.000;137;0;0;0;0;0;24.04.2023;;6,14;0,73;0,43;4,67;0,34;0,01;0,46;21,2;47,8;11,43;36,7;218,2;0,67;255,5;0,1;0,14;;44,74;7,28;13,22;;6,4;0,11;3,4;16,7;12,1;149;1,1;146,3;6,48;7,89;89,76;10,6;1,15;1,97;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;2_911;08.06.2023;1;51,49645;11,99274;107;3;Kartoffel;Agria;0;292;;;;;0;Kalkdüngungsversuch;25.04.2023;18.10.2023;Knospenstadium;;120;;250;;2.000;137;0;0;0;0;0;24.04.2023;;6,08;0,75;0,44;4,65;0,34;0,01;0,46;20,8;44,8;11,83;36,9;236,1;0,93;277,9;0,1;0,21;;44,47;7,32;13,11;;6,4;0,11;3,1;17,7;11,4;142;1,07;140,4;6,17;7,39;95,55;10,26;1,13;1,94;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;2_912;08.06.2023;1;51,49645;11,99274;107;3;Kartoffel;Agria;0;324;;;;;0;Kalkdüngungsversuch;25.04.2023;18.10.2023;Knospenstadium;;120;;250;;;137;0;0;0;0;0;24.04.2023;;6,51;0,52;0,56;4,27;0,28;0,01;0,51;20,3;73,7;16,87;44,8;225,8;0,34;255,4;0,13;0,09;;45,36;6,96;12,72;;5,5;0,11;3;20,2;11,4;116;0,91;142,5;7,82;7,95;120,8;10,26;1,15;1,98;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;2_913;08.06.2023;1;51,49645;11,99274;107;3;Kartoffel;Agria;0;342;;;;;0;Kalkdüngungsversuch;25.04.2023;18.10.2023;Knospenstadium;;120;;250;;500;137;0;0;0;0;0;24.04.2023;;6,44;0,55;0,53;4,27;0,27;0,01;0,49;21,2;70,7;15,84;42,8;203,4;0,31;214,6;0,1;0,07;;45,33;7,04;13,27;;5,6;0,11;3,5;16,8;11,2;123;0,85;138,1;7,43;7,97;120,7;10,58;1,14;1,97;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;2_914;08.06.2023;1;51,49645;11,99274;107;3;Kartoffel;Agria;0;320;;;;;0;Kalkdüngungsversuch;25.04.2023;18.10.2023;Knospenstadium;;120;;250;;1.000;137;0;0;0;0;0;24.04.2023;;6,28;0,65;0,5;4,36;0,28;0,01;0,48;20,1;46,5;13,18;41,1;202,6;0,76;230,3;0,09;0,13;;44,79;7,13;13,18;;6,4;0,11;3,4;16,7;12,1;149;1,1;146,3;6,48;7,89;89,76;10,6;1,15;1,97;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;2_915;08.06.2023;1;51,49645;11,99274;107;3;Kartoffel;Agria;0;278;;;;;0;Kalkdüngungsversuch;25.04.2023;18.10.2023;Knospenstadium;;120;;250;;2.000;137;0;0;0;0;0;24.04.2023;;6,26;0,66;0,5;4,39;0,28;0,01;0,45;20,4;41,4;12,87;42,5;218,6;1,23;237,2;0,09;0,12;;45,09;7,2;13,99;;6,4;0,11;3,1;17,7;11,4;142;1,07;140,4;6,17;7,39;95,55;10,26;1,13;1,94;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;2_920;08.06.2023;1;51,49645;11,99274;107;3;Kartoffel;Agria;0;191;;;;;0;K-Düngungsversuch;25.04.2023;11.10.2023;Knospenstadium;;150;40;;22;;;0;0;0;0;0;24.04.2023;;6,05;1,1;0,57;2,71;0,38;0,02;0,36;24,9;41,9;15,59;36;203,7;1,42;236,7;0,12;0,07;;45,61;7,54;16,76;;5,5;0,1;7;2,3;11;126;0,53;80,34;7,77;7,41;99,42;10,38;1,1;1,89;2878;Lauchstädt, Bad;51,39089966;11,87860012
